"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Artificial Anasazi_experiments.nlogo"
"experiment single run"
"02/06/2025 23:30:32:124 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","79","0","119"
"[run number]","fertility","death-age","harvest-variance","fertility-ends-age","harvest-adjustment","map-view","historic-view?","[step]","total-households","historical-total-households"
"1","0.155","38","0.4","34","0.54","zones","true","97","13","42"
"1","0.155","38","0.4","34","0.54","zones","true","98","12","42"
"1","0.155","38","0.4","34","0.54","zones","true","99","12","42"
"1","0.155","38","0.4","34","0.54","zones","true","100","13","42"
"1","0.155","38","0.4","34","0.54","zones","true","101","13","56"
"1","0.155","38","0.4","34","0.54","zones","true","102","11","58"
"1","0.155","38","0.4","34","0.54","zones","true","103","11","58"
"1","0.155","38","0.4","34","0.54","zones","true","104","12","58"
"1","0.155","38","0.4","34","0.54","zones","true","105","12","58"
"1","0.155","38","0.4","34","0.54","zones","true","106","12","58"
"1","0.155","38","0.4","34","0.54","zones","true","107","12","58"
"1","0.155","38","0.4","34","0.54","zones","true","108","12","58"
"1","0.155","38","0.4","34","0.54","zones","true","109","13","58"
"1","0.155","38","0.4","34","0.54","zones","true","110","14","58"
"1","0.155","38","0.4","34","0.54","zones","true","111","13","58"
"1","0.155","38","0.4","34","0.54","zones","true","112","13","60"
"1","0.155","38","0.4","34","0.54","zones","true","113","14","60"
"1","0.155","38","0.4","34","0.54","zones","true","114","15","60"
"1","0.155","38","0.4","34","0.54","zones","true","115","14","60"
"1","0.155","38","0.4","34","0.54","zones","true","116","13","60"
"1","0.155","38","0.4","34","0.54","zones","true","117","14","60"
"1","0.155","38","0.4","34","0.54","zones","true","118","15","61"
"1","0.155","38","0.4","34","0.54","zones","true","119","15","61"
"1","0.155","38","0.4","34","0.54","zones","true","120","16","61"
"1","0.155","38","0.4","34","0.54","zones","true","121","14","60"
"1","0.155","38","0.4","34","0.54","zones","true","122","14","61"
"1","0.155","38","0.4","34","0.54","zones","true","123","14","61"
"1","0.155","38","0.4","34","0.54","zones","true","124","15","61"
"1","0.155","38","0.4","34","0.54","zones","true","125","15","61"
"1","0.155","38","0.4","34","0.54","zones","true","126","16","59"
"1","0.155","38","0.4","34","0.54","zones","true","127","15","61"
"1","0.155","38","0.4","34","0.54","zones","true","128","16","61"
"1","0.155","38","0.4","34","0.54","zones","true","129","16","61"
"1","0.155","38","0.4","34","0.54","zones","true","130","18","61"
"1","0.155","38","0.4","34","0.54","zones","true","131","13","61"
"1","0.155","38","0.4","34","0.54","zones","true","132","16","62"
"1","0.155","38","0.4","34","0.54","zones","true","133","16","62"
"1","0.155","38","0.4","34","0.54","zones","true","134","15","62"
"1","0.155","38","0.4","34","0.54","zones","true","135","15","62"
"1","0.155","38","0.4","34","0.54","zones","true","136","14","62"
"1","0.155","38","0.4","34","0.54","zones","true","137","14","62"
"1","0.155","38","0.4","34","0.54","zones","true","138","13","62"
"1","0.155","38","0.4","34","0.54","zones","true","139","13","62"
"1","0.155","38","0.4","34","0.54","zones","true","140","13","62"
"1","0.155","38","0.4","34","0.54","zones","true","141","14","61"
"1","0.155","38","0.4","34","0.54","zones","true","142","14","63"
"1","0.155","38","0.4","34","0.54","zones","true","143","15","63"
"1","0.155","38","0.4","34","0.54","zones","true","144","13","63"
"1","0.155","38","0.4","34","0.54","zones","true","145","13","63"
"1","0.155","38","0.4","34","0.54","zones","true","146","16","63"
"1","0.155","38","0.4","34","0.54","zones","true","147","18","63"
"1","0.155","38","0.4","34","0.54","zones","true","148","22","63"
"1","0.155","38","0.4","34","0.54","zones","true","149","21","63"
"1","0.155","38","0.4","34","0.54","zones","true","150","21","63"
"1","0.155","38","0.4","34","0.54","zones","true","151","22","66"
